"conference_acronym","conference_name","conference_location"
"3101","NCOM 2019","5 th International Conference on Networks & Communications","Toronto, Canada "
"412","CMIT 2019","7th International Conference of Managing Information Technology ","Melbourne, Australia"
"512","SIPRO  2019","5th International Conference on Signal and Image Processing ","Toronto, Canada"
"612","CNSA  2019","12th International Conference on Security and its Applications","Vancouver, Canada"
"712","IJDPS 2018","International Journal of Distributed and Parallel systems","N/A"
"812","GRAPH-HOC 2018","10th International Conference on Applications of Graph Theory in Wireless Ad hoc Networks and Sensor Networks","Dubai, UAE"
"912","SOEA  2019","3rd International Conference on Software Engineering and Applications","Chennai, India"
"1012","ACITY  2018","8th International Conference on Advances in Computing and Information Technology ","Melbourne, Australia"
"1112","COMIT  2019"," 3rd International Conference on Computer Science and Information Technology ","Chennai, India"
"1212","WiMoNe 2018","10th International Conference on Wireless & Mobile Networks (WiMoNe-2018)","Dubai, UAE"
"1312","ITCA 2019","7th International Conference of Information Technology, Control and Automation ","Melbourne, Australia"
"1412"," ACIJ 2018","Advanced Computing: An International Journal","N/A"
"1512","CCSEA 2019","9th International Conference on Computer Science, Engineering and Applications","Toronto, Canada"
"1611","BIOENG  2018","3rd International Conference on Bioscience & Engineering (BIOENG 2018)","Dubai, UAE"
"1711","DMDB  2019","6th International Conference on Data Mining and Database ","Vancouver, Canada"
"1811","WeST  2018","10th International Conference on Web services & Semantic Technology","Melbourne, Australia"
"1911","DKMP 2019","7th International Conference on Data Mining & Knowledge Management Process","Toronto, Canada"
"2011","CSEIT 2018","5th International Conference on Computer Science, Engineering and Information Technology","Dubai,UAE"
"2111","IJDKP 2018","International Journal of Data Mining & Knowledge Management Process","N/A"
"2211","ICBDSC--ACM, Ei & Scopus 2019","ACM--2019 2nd International Conference on Big Data and Smart Computing (ICBDSC 2019)--Ei Compendex & Scopus","Bali, Indonesia"
"2311","CoSIT  2019","6th International Conference on Computer Science and Information Technology (CoSIT 2019)","Dubai, UAE"
"2411","IJBISS 2018","International Journal of Business Information Systems Strategies","N/A"
"2511","P2PTM  2018","8th International Conference on Peer-to-Peer Networks and Trust Management ","Melbourne, Australia"
"2611","SCAI 2018","7th International Conference On Soft Computing, Artificial Intelligence And Applications ","Sydney , Australia"
"2711","DMA 2019","5th International Conference on Data Mining and Applications","Dubai, UAE"
"2811","CCSEIT  2019","9th International Conference on Computer Science, Engineering and Information Technology","Vancouver, Canada"
"2911","SIPM 2019","7th International Conference on Signal Image Processing and Multimedia ","Melbourne, Australia"
"3011","NET 2019"," 3rd International Conference on Networks and Communications","Chennai, India"
"3111","IT 2019","8th International Conference on Information Theory ","Vancouver, Canada"
"3211","MoWIN  2019","8th International Conference on Mobile & Wireless Networks ","Vancouver, Canada"
"3311","AISCA  2019","3rd International Conference on Artificial Intelligence, Soft Computing And Applications ","Chennai, India"
"3411","AISC  2018","6th International Conference on Artificial Intelligence, Soft Computing ","Dubai,UAE"
"3511","CHEME  2018","3rd International Conference on Chemical Engineering","Dubai, UAE "
"3611","Meche 2018","6th International Conference On Mechanical Engineering","Dubai, UAE "
"3711","AutoML 2018","The Second International Workshop on Automation in Machine Learning and Big Data","Seattle, WA, USA"
"3811","DaKM  2018","3rd International Conference on Data Mining & Knowledge Management","Dubai, UAE"
"3911","BDMIOM 2018","The 1st International Workshop on Big Data for Marketing Intellegence and Operation Management","Seattle, WA"
"402","EI/SCOPUS-PRA 2019","2019 Workshop on Pattern Recognition Applications (PRA 2019)","Shanghai, China"
"413","PBIJ 2018","Pharmaceutical and Biomedical sciences: An International Journal","N/A"
"422","IJWSC 2018","International Journal on Web Service Computing ","N/A"
"432","IJCAx 2018","International Journal of Computer-Aided technologies ","N/A"
"442","IJDMS 2018","International Journal of Database Management Systems","N/A"
"452","IJPLA 2018","International Journal of Programming Languages and Applications","N/A"
"462","IJWMN 2018"," International Journal of Wireless & Mobile Networks -ERA Indexed","N/A"
"472","JoL 2018","International Journal of Law ","N/A"
"482"," OPTLJ  2018","Integrated Optics and Lightwave : An International Journal","N/A"
"492","IJGCA 2018","International Journal of Grid Computing & Applications","N/A"
"502","IJCSEIT 2018","International Journal of Computer Science, Engineering and Information Technology","N/A"
"513","IJMSA 2018","International Journal of Modelling, Simulation and Applications","N/A"
"522","IJAIT 2018"," International Journal of Advanced Information Technology ","N/A"
"532","Ei ICEPOE 2019","2019 3rd International Conference on Engineering Physics and Optoelectronic Engineering (ICEPOE 2019)"," Kuala Lumpur, Malaysia"
"542","DMKD 2019","2019 2nd International Conference on Data Mining and Knowledge Discovery(DMKD 2019)","Shanghai, China"
"552","ISCSAI 2018","2018 International Symposium on Computer Science and Artificial Intelligence","Hong Kong"
"562","SI-TNNLS-SMLMATA 2018","TNNLS Special Issue on Structured Multi-output Learning: Modelling, Algorithm, Theory and Applications","N/A"
"572","ICETI 2018","2018 3rd International Conference on Engineering and Technology Innovations","Hong Kong"
"582","IMCS 2018","2018 International Conference on Information Management and Computer Science","Hong Kong"
"592","IMCS 2018","Information Management and Computer Science","N/A"
"602","Scopus-PRIS 2019","2019 International Conference on Pattern Recognition and Intelligent Systems (PRIS 2019)","Shanghai,China"
"613","PSGE-EI/Scopus/CPCI  2019","2019 International Conference on Power System and Green Energy  (PSGE 2019)","Shanghai, China"
"622","ICBDM--Ei Compendex and Scopus 2019","2019 the 2nd International Conference on Big Data Management (ICBDM 2019)--Ei Compendex and Scopus","Zhuhai, China"
"632","ACM--ICCDA--Ei Compendex, Scopus 2019","ACM--2019 3rd International Conference on Compute and Data Analysis (ICCDA 2019)--Ei Compendex, Scopus","University of Hawaii Maui College, USA"
"642","ICGDA--Ei Compendex and Scopus 2019","2019 2nd International Conference on Geoinformatics and Data Analysis (ICGDA 2019)--Ei Compendex and Scopus","Prague, Czech Republic"
"652","CP3E-EI/Scopus/CPCI 2019","2019 International Conference on Power, Electrical and Energy Engineering  (CP3E 2019)","Shanghai, China"
"662","Task Intelligence - WSDM 2019","Task Intelligence Workshop at WSDM 2019","Melbourne, Australia"
"672","AIHealth@FLAIRS 2019","AI in Healthcare Informatics Special Track at FLAIRS","Sarasota, FL"
"682","ICBCT--EI Compendex and Scopus 2019","2019 International Conference on Blockchain Technology (ICBCT 2019)--EI Compendex and Scopus","Honolulu, Hawaii, the United States"
"692","ACM--ICISDM--Ei and Scopus 2019","ACM--2019 3rd International Conference on Information System and Data Mining (ICISDM 2019)--Ei Compendex and Scopus","University of Houston, Texas, USA"
"702","ICKMS--Ei and Scopus 2019","2019 2nd International Conference on Knowledge Management Systems (ICKMS 2019)--Ei Compendex and Scopus","University of Houston, Texas, USA"
"713","<U+0418><U+0434><U+0435><U+043D><U+0442><U+0438><U+0444><U+0438><U+043A><U+0430><U+0446><U+0438><U+044F> 2019","<U+0421><U+0435><U+043A><U+0446><U+0438><U+044F> «<U+0418><U+0414><U+0415><U+041D><U+0422><U+0418><U+0424><U+0418><U+041A><U+0410><U+0426><U+0418><U+042F> <U+0421><U+0418><U+0421><U+0422><U+0415><U+041C>» <U+0432> <U+0440><U+0430><U+043C><U+043A><U+0430><U+0445> XIII <U+0412><U+0441><U+0435><U+0440><U+043E><U+0441><U+0441><U+0438><U+0439><U+0441><U+043A><U+043E><U+0433><U+043E> <U+0441><U+043E><U+0432><U+0435><U+0449><U+0430><U+043D><U+0438><U+044F> <U+043F><U+043E> <U+043F><U+0440><U+043E><U+0431><U+043B><U+0435><U+043C><U+0430><U+043C> <U+0443><U+043F><U+0440><U+0430><U+0432><U+043B><U+0435><U+043D><U+0438><U+044F>","<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>, <U+0420><U+043E><U+0441><U+0441><U+0438><U+044F>"
"722","ICBDE--Ei and Scopus 2019","2019 2nd International Conference on Big Data and Education (ICBDE 2019)--Ei Compendex and Scopus","London, UK"
"732","ICCCBDA--Ei and Scopus 2019","2019 the 4th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA 2019)--Ei Compendex and Scopus","Chengdu, China"
"742","IWWSD  2019","1st International Workshop on Web Search and Data Mining ","Leuven, Belgium"
"752","SIMCA 2019","IFAC MIM'2019 SIMCA Open Invited Track","Berlin, Germany"
"762","ACM--ICDPA--Scopus, Ei 2019","ACM--2019 The 5th International Conference on Data Processing and Applications (ICDPA 2019)--Scopus, Ei Compendex","Shanghai, China"
"772","ICCDE--Ei and Scopus 2019","2019 5th International Conference on Computing and Data Engineering (ICCDE 2019)--Ei Compendex and Scopus","Shanghai, China"
"782","PDDM 2018","Special Issue  on Parallel and Distributed Data Mining","N/A"
"792","ACM--ICBDC--Ei and Scopus 2019","ACM--2019 4th International Conference on Big Data and Computing (ICBDC 2019)--Ei Compendex and Scopus","Guangzhou, China"
"802","iDSC 2019","International Data Science Conference","Salzurg / Austria"
"813","ICKEA--Ei Compendex and Scopus 2019","2019 The 4th International Conference on Knowledge Engineering and Applications (ICKEA 2019)--Ei Compendex and Scopus","Beijing,China"
"822","DSA 2019","The Frontiers in Intelligent Data and Signal Analysis DSA 2019","New York"
"832","ICDM 2019","19th Industrial Conference on Data Mining ICDM 2019","New York"
"842","MLDM 2019","15th International Conference on Machine Learning and Data Mining MLDM 2019","New York"
"852","ICFCA 2019","The 15th International Conference on Formal Concept Analysis","Frankfurt, Germany"
"862","ICITS--EI Compendex, SCOPUS 2019","2019 The 7th International Conference on Information Technology and Science (ICITS 2019)--EI Compendex, SCOPUS","Hong Kong"
"872","BDAI--Ei and Scopus 2019","2019 2nd International Conference on Big Data and Artificial Intelligence (BDAI 2019)--Ei Compendex and Scopus","Guangzhou, China"
"882","DSDE--Ei Compendex and Scopus 2019","2019 International Conference on Data Storage and Data Engineering (DSDE 2019)--Ei Compendex and Scopus","Jeju Island, South Korea"
"892","BDE--EI, Scopus 2019","2019 International Conference on Big Data Engineering (BDE 2019)--EI Compendex, Scopus","Hong Kong"
"902","DSBFI 2019","ISSAT International Conference on Data Science in Business, Finance and Industry","Da Nang, Vietnam"
"913","DSIS 2019","ISSAT International Conference on Data Science and Intelligent Systems","Las Vegas, Nevada, USA"
"922","ICDMML 2019","<U+3010>ACM ICPS EI SCOPUS<U+3011>2019 International Conference on Data Mining and Machine Learning","Hong Kong"
"932","COMML 2020","International Conference on Optimization, Metaheuristics and Machine Learning","Xi'an"
"942","ABCSS 2018","The 3rd International Workshop on Application of Big Data for Computational Social Science","Seattle, WA, USA"
"952","Call for Participants 2018","2018 International Conference on Green Energy and Sustainable Development (GESD 2018)","Jeju Island, Korea"
"962","SDM 2019","SIAM International Conference on Data Mining","Hyatt Regency Calgary, Calgary, Alberta,"
"972","ICBTA--ACM, Ei Compendex and Scopus 2018","ACM--2018 International Conference on Blockchain Technology and Applications (ICBTA 2018)--Ei Compendex and Scopus","Xi'an, China"
"982","Call for Participants 2018","2018 International Conference on Environmental and Water Resources Engineering (EWRE 2018)","Jeju Island, Korea"
"992","NICDL 2018","Nature-Inspired Computation in Data Mining and Machine Learning","Call for Book Chapters"
"1002","PAKDD 2019","Pacific-Asia Conference on Knowledge Discovery and Data Mining","Macau, China"
"1013","Scopus-ICDPR 2019","2019 3rd International Conference on Data Processing and Robotics (ICDPR 2019)","Los Angeles,USA"
"1022","MATE 2018","3rd International Conference of Advances in Materials Science and Engineering","Dubai,UAE"
"1032","AI 2018","4th International Conference on Artificial Intelligence and Applications","Dubai,UAE"
"1042","BIOS 2018","4th International Conference on Bioinformatics & Biosciences","Dubai, UAE"
"1052","SIGI 2018","4th International Conference on Signal and Image Processing","Dubai, UAE"
"1062","SEPDA 2018","CFP: The 3rd International Workshop on Semantics-Powered Data Analytics (SEPDA 2018)","Madrid, Spain"
"1072","CSTY  2018","4th International Conference on Computer Science and Information Technology","Dubai, UAE"
"1082","CoDS-COMAD YRS 2019","CoDS-COMAD 2019 Young Researchers Symposium","Kolkata, India"
"1092","MSA 2018","Multivariate Statistical Analysis MSA 2018","Lodz, Poland"
"1103","AI 2018","4th International Conference on Artificial Intelligence and Applications","Dubai,UAE"
"1113","BDML--Ei Compendex and Scopus 2018","2018 International Conference on Big Data and Machine Learning (BDML 2018)--Ei Compendex and Scopus","Nagoya, Japan"
"1122","MLPMEA 2018","Special Session On Machine Learning for Predictive Models in Engineering Applications, ICMLA 2018","Orlando, Florida, USA"
"1132","ICBDR--Ei Compendex & Scopus 2018","2018 The 2nd International Conference on Big Data Research (ICBDR 2018)--Ei Compendex & Scopus","Weihai, China"
"1142","RECPAD 2018","24th Portuguese Conference on Pattern Recognition ","Coimbra"
"1152","ADC 2019","2019 Australasian Database Conference","Sydney"
"1162","LPKM 2018","International Workshop on Language Processing and Knowledge Management","Tunisia Sfax"
"1172","BDIOT--Ei Compendex and Scopus 2018","2018 2nd International Conference on Big Data and Internet of Things (BDIOT 2018)--Ei Compendex and Scopus","Beijing, China"
"1182","NGDS 2018","Call for the 2018 Next Generation Data Scientist (NGDS) Award","Turin, Italy"
"1192","CIMA 2018","8th International Workshop on Combinations of Intelligent Methods and Applications","Volos, Greece"
"1202","DIT 2018","Workshop on Data-Driven Intelligent Transportation (in Conjunction with ICDM'18)","Singapore"
"1213","CPPS 2018","CYBER PHYSICAL PRODUCTION SYSTEMS: THEORY AND PRACTICES","Leuven, Belgium"
"1222","ADMiS 2018","International Workshop on Adapting Data Mining for Security 2018","Singapore"
"1232","ACML-MoL 2018","ACML 2018 Workshop on Multi-output Learning","Beijing, China"
"1242","TIST Special Issue  2018","ACM TIST Special Issue on Advances in Causal Discovery and Inference","N/A"
"1252","LKE 2018","Language and Knowledge Engineering- 6th Symposium. 29-31 Oct 2018. Puebla, Mexico","Puebla, Mexico"
"1262","CDEC 2018","The 1st International Workshop on Cross-disciplinary Data Exchange and Collaboration (CDEC)","Singapore"
"1272","DaMNet 2018","The 8th IEEE ICDM Workshop on Data Mining in Networks","Singapore"
"1282","BlockSEA 2018","Workshop on Blockchain and Sharing Economy Applications (Co-located with IEEE ICDM'18)","Singapore"
"1292","DSEA 2018","The Second International Workshop on Data Science Engineering and its Applications ","Valencia, Spain"
"1302","BDSN 2018","The 6th International workshop on Big Data and Social Networking Management and Security","Valencia, Spain"
"1313","OSNT 2018","The Fourth International Workshop on Online Social Networks Technologies ","Valencia, Spain"
"1322","DELL@ICDM 2018","[CFP] IEEE ICDM 2018 Workshop on Developmental Learning (DELL 2018)","Singapore"
"1332","AISB 2018","Artificial Intelligence for Synthetic Biology","Arlington, VA"
"1342","SIR 2018","CIKM 2018 Workshop on Social Interaction-based Recommendation","Turin (Italy)"
"1352","SMCDC 2018","2018 Smoky Mountains Conference Data Challenge.","Gatlinburg, TN"
"1362","EEEN  2018","3rd International Conference on Electrical and Electronics Engineering ","Dubai,UAE"
"1372","ICIIT 2018","International Conference on Intelligent Information Technologies ","CHENNAI, INDIA"
"1382","E&C 2018","3rd International Conference on Electrical & Computer Engineering ","Dubai,UAE"
"1392","SIPR  2018","4th International Conference on Signal Processing and Pattern Recognition","Dubai,UAE"
"1402","SNAMS 2018","The Fifth International Conference on Social Networks Analysis, Management and Security","Valencia, Spain"
"1413","IAL@ECMLPKDD 2018","Interactive Adaptive Learning","Dublin, Ireland"
"1422","FATREC 2018","The 2nd FATREC Workshop on Responsible Recommendation","Vancouver, Canada"
"1432","AusDM2018-Call For Tutorials 2018","Australasian Data Mining Conference (AusDM) 2018 - Call For Tutorials","Bathurst, NSW, Australia"
"1442","AusDM 2018","Australasian Data Mining Conference","Bathurst, Australia"
"1452","RDSM 2018","Workshop on Rumours and Deception in Social Media ","Turin, Italy"
"1462","AAIM 2018","Twelfth International Conference on Algorithmic Aspects in Information and Management ","Dallas, TX, United States"
"1472","ICCBD--ACM, EI and Scopus 2018","ACM--2018 International Conference on Computing and Big Data (ICCBD 2018)--EI Compendex and Scopus","South Carolina, USA"
"1482","DARE 2018","ECMLPKDD 2018, 6th International Workshop on Data Analytics for Renewable Energy Integration","Dublin, Ireland"
"1492","SoGood 2018","Third Workshop on Data Science for Social Good (SoGood 2018)@ECML/PKDD 2018","Dublin, Ireland"
"1502","recsysktl 2018","The 2nd Workshop on Intelligent Recommender Systems by Knowledge Transfer & Learning","Vancouver, Canada"
"1513","OnTheMove 2018","<U+25B6> CFP: OntheMove Federated Conferences 2018, Valletta, Malta, 22-26 October 2018","Valletta, Malta"
"1521","IDEAL  2018","19th International Conference on Intelligent Data Engineering and Automated Learning","Madrid"
"1531","CIIS 2018","Computational Intelligence in Information Systems","Brunei"
"1541","ACM--BDET--Ei Compendex and Scopus 2018","ACM--2018 International Conference on Big Data Engineering and Technology (BDET 2018)--Ei Compendex and Scopus","Chengdu, China"
"1551","LIDTA 2018","2nd International Workshop on Learning with Imbalanced Domains - Theory and Applications (@ECML/PKDD 2018)","Dublin, Ireland"
"1561","PAP 2018","Personal Analytics and Privacy","Dublin, Ireland"
"1571","ICDIM 2018","Thirteenth International Conference on Digital Information Management (ICDIM 2018)","Berlin"
"1581","MIDAS 2018","MIDAS @ECML-PKDD 2018 - 3rd Workshop on MIning DAta for financial applicationS","Dublin, Ireland"
"1591","MLSA 2018","Machine Learning and Data Mining for Sports Analytics (Workshop @ ECML/PKDD 2018)","Dublin, Ireland"
"1601","KDD-DeepLearningDay 2018","ACM SIGKDD 2018 Deep Learning Day Call for Papers","London, UK"
"1612","AutSys 2018","11th GI Conference on Autonomous Systems","Cala Millor, Majorca, Spain"
"1621","CMC  2018","4th International Conference on Control, Modeling and Computing ","Chennai, India"
"1631","SAI 2018","7th International Conference on Soft Computing, Artificial Intelligence and Applications - UGC Listed Proceedings","Chennai,India"
"1641"," SOFT 2018","4th International Conference on Software Engineering","Chennai,India"
"1651","ICCBDC--ACM, Ei Compendex and Scopus 2018","2018 2nd International Conference on Cloud and Big Data Computing (ICCBDC 2018)--ACM, Ei   Compendex and Scopus","Barcelona, Spain"
"1661","Big Data 2018","The 6th International Workshop on Big Data","China"
"1671","ICMLB 2018","International Conference on Machine Learning and Big Data 2018","Essex, UK"
"1681","DMAP 2018","4th International Conference on Data Mining and Applications","Dubai, UAE"
"1691","ADMA 2018","Advanced Data Mining and Applications","Nanjing, China"
"1701","BI 2018","The 11th International Conference on Brain Informatics","Arlington, TX"
"1712","GCCE-OS-DSC 2018","IEEE GCCE 2018 Organized Session on Data Science and Its Application to Consumer Technology","Nara, Japan"
"1721","KDML 2018","Workshop on Knowledge Discovery, Data Mining and Machine Learning","Mannheim"
"1731","SNMAM 2018","Track on Social Network and Media Analysis and Mining - SIMBig 2018","Lima, Peru"
"1741","ICDM 2018","IEEE International Conference on Data Mining","Singapore"
"1751","ML-ISAPR 2018","1st Workshop on Machine Learning, Intelligent Systems and Statistical Analysis for Pattern Recognition in Real-life Scenarios (ML-ISAPR 2018)","Zakynthos, Greece"
"1761","AKTS 2018","Special Session on Innovative Applications for Knowledge Transfer Support","Vilnius, Lithuania"
"1771","ICDATA 2018","14th International Conference on Data Science","Las Vegas, NV USA"
"1781","CD 2018","The 2018 ACM SIGKDD Workshop on Causal Discovery ","London"
"1791","BigMine 2018","7th BigMine Workshop on Big Data Mining (at SIGKDD 2018) ","London"
"1801","BigScholar 2018","The KDD 2018 Workshop on Big Scholarly Data","London, United Kingdom"
"1812","ODD 2018","ACM SIGKDD Workshop on Outlier Detection De-constructed (KDD-ODD 2018)","London, UK"
"1821","IEEE Xplore--ICDDM--Ei and Scopus 2018","2018 7th International Workshops on Database and Data Mining (ICDDM 2018)--IEEE Xplore, Ei and Scopus","Chongqing, China"
"1831","MLG 2018","14th International Workshop on Mining and Learning with Graphs","London, UK"
"1841","CONFENIS 2018","International Conference on Research and Practical Issues of Enterprise Information Systems ","Poznan, Poland"
"1851","DS-RAIT 2018","5th Doctoral Symposium on Recent Advances in Information Technology","Poznan, Poland"
"1861","BDTA 2018","The 9th EAI International Conference on Big Data Technologies and Applications","Exeter, 2018"
"1871","IDEA 2018","KDD Workshop on Interactive Data Exploration and Analytics (KDD-IDEA) 2018","London, UK"
"1881","BIOKDD 2018","17th International Workshop on Data Mining in Bioinformatics (with SIGKDD'18)","London, UK"
"1891","BDAI--Ei Compendex and Scopus 2018","2018 International Conference on Big Data and Artificial Intelligence (BDAI 2018)-- Ei Compendex and Scopus","Beijing, China"
"1901","SEBD 2018","26th Italian Symposium on Advanced Database Systems ","Castellaneta Marina (Taranto), Italy"
"1912","KES 2018 PR-TAC 2018","KES Invited Session on Pattern Recognition: Trends, Applications and Challenges","Belgrade, Serbia"
"1921","PACMA 2018","Physiological and Affective Computing: Methods and Applications","Melbourne, Australia"
"1931","PHSS 2018","Perspectives in Humanities and Social Sciences: Hinting at Interdisciplinarity. 5th edition: Mapping Digital Futures","Romania, Iasi"
"1941","ECML-PKDD 2018","European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases","Dublin, Ireland"
"1951","BDAA 2018","The 5th International Symposium on Big Data Principles, Architectures & Applications (BDAA 2018)","Orléans, France"
"1961","IMMM 2018","The Eighth International Conference on Advances in Information Mining and Management","Barcelona, Spain"
"1971","MSTED 2018","Mining Streaming and Time-Evolving Data (ECDA spec. session)","Paderborn (Germany)"
"1981","IEEE--ICAIBD--Ei Compendex and Scopus 2018","IEEE--2018 International Conference on Artificial Intelligence and Big Data (ICAIBD 2018)--Ei Compendex and Scopus","Chengdu, China"
"1991","Sideways  2018","4th International Workshop on Social Media World Sensors ","Crete - Greece"
"2001","IMPAct Workshop (Pervasive Health) 2018","Improving healthcare through service design and patient empowerment technologies","New York"
"2012","TSD 2018","Twenty-first International Conference on TEXT, SPEECH and DIALOGUE","Brno, Czech Republic"
"2021","ITA 2018","5th Annual International Conference on Information Technology and Applications","Guilin, Guanxi, China"
"2031","FSDM 2018","4th International Conference on Fuzzy Systems and Data Mining","Bangkok, Thailand"
"2041","Data Analysis - TSP 2018","Multivariate Data Analysis and Knowledge Discovery – From Theory to Applications Special Session on TSP 2018 | IEEE R8 | IEEE Xplore® | SCOPUS","Athens, Greece"
"2051","MISNC 2018","The 5th Multidisciplinary International Social Networks Conference","France"
"2061","ST-Analytics 2018","Spatio-Temporal Analytics @ ICCSA 2018","Melbourne, Australia"
"2071","4TH IEEE IMP 2018","4th IEEE CiSt'18 focused Conference on Information and Multimedia Processing","Marrakesh, Morocco"
"2081","DEW 2018","Data Exploration in the Web 3.0 Age (IEEE WETICE 2018 track)","Paris, France"
"2091","SeCoP 2018","The 5th International Symposium on Semantic Computing and Personalization","Gold Coast, Australia"
"2102","DATA 2018","7th International Conference on Data Science, Technology and Applications","Porto, Portugal"
"2112","WPDM 2018","The Second International Workshop on Parallel and Distributed Data Mining","Melbourne, Australia"
"2121","IEEE FRUCT 2018","22nd Conference of Open Innovations Association FRUCT","Jyvaskyla, Finland"
"2131","INISTA  2018","IEEE International Conference on Innovations in Intelligent SysTems and Applications ","Thessaloniki, Greece"
"2141","EDM 2018","The 11th International Conference on Educational Data Mining – EDM 2018 Preliminary Call for Papers","University at Buffalo, New York, United "
"2151","TMonJobAds 2018","Text Mining on Job Advertisements - Strategies for discovering valuable information from large corpora ","Cologne"
"2161","ISHIMR 2018","18th International Symposium for Health Information Management Research","Enschede, the Netherlands"
"2171","[Deadline Extended] APWeb-WAIM 2018","The APWeb-WAIM Joint Conference on Web and Big Data","Macau, China"
"2181","WASMM 2018","Web and Social Media Mining","Toledo (Spain)"
"2191","KDD 2018","Knowledge Discovery and Data Mining Conference","London, UK"
"2201","COST 2018","International Workshop on Cost-Sensitive Learning (at SDM'2018)","San Diego, California"
"2212","HIJJ 2018","Health Informatics: An International Journal ","N/A"
"2221","BDAS 2018","14th (IFIP and IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures during IFIP World Computer Congres (IFIP WCC)","Poznan, Poland"
"2231","NAIDES@WCCI CEC 2018","WCCI 2018 Special Session on  Nature-inspired Design, Evolution, and Optimization of Intelligent Systems","Rio de Janeiro, Brazil"
"2241","DMG2 2018","Workshop on Data Mining for Geophysics and Geology ","San Diego, California"
"2251","CAMSA 2018","2018 Computer Aided Modeling, Simulation and Analysis ","Monash University, Melbourne, Australia"
"2261","IEEE TETCI 2018","IEEE Transactions on Emerging Topics in Computational Intelligence Special Issue on Computational Intelligence in Data-Driven Optimization","N/A"
"2271","IEEE-CEM 2018","IEEE Consumer Electronics Magazine - Special Issue on Innovative Application of Machine Learning for End Consumers","N/A"
"2281","CLA 2018","The 14th International Conference on Concept Lattices and Their Applications","Olomouc, Czech Republic"
"2291","SoAPS 2018","ECIR Workshop on Social Aspects in Personalization and Search","Grenoble (France)"
"2301","AIAI 2018","14th Artificial Intelligence Applications and Innovations 2018","Rhodes island Greece"
"2312","BigNet 2018","The 3rd International Workshop on Learning Representations for Big Networks @ The Web Conference 2018","Lyon, France"
"2321"," Empowering Deep Learning@IJCNN 2018","Special Session on Empowering Deep Learning Models @ WCCI (IJCNN) 2018","Rio de Janeiro, Brazil"
"2331","DMDMS 2018","2nd International Workshop on Data Ming for Decision Making Support","Porto, Portugal"
"2341","N/A 2018","Special Issue on Granular Computing in Financial Engineering, Journal of Granular Computing ","N/A"
"2351","SDMA 2018","5th Symposium on Data Mining Applications (SDMA2018)","Riyadh"
"2361","MLRec 2018","MLRec 2018: 4th International Workshop on Machine Learning Methods for Recommender Systems (In conjunction with SDM 2018)","San Diego, CA, U.S.A"
"2371","IFAC INCOM SIMCA 2018","IFAC INCOM 2018 SIMCA Special Session","Bergamo, Italy"
"2381","ICME 2018","IEEE International Conference on Multimedia and Expo","San Diego, California, USA"
"2391","IEEE TETC SI 2017","IEEE Transactions on Emerging Topics in Computing, Special Issue on Scholarly Big Data","N/A"
"2401","IEEE BigDataService 2018","The Fourth IEEE INTERNATIONAL CONFERENCE ON BIG DATA COMPUTING SERVICE AND APPLICATIONS","Bamberg, Germany"
"2412","MIS2 @ WSDM 2018","Misinformation and Misbehavior Mining on the Web workshop","Los Angeles"
"2421","DM_FLAIRS 2018","FLAIRS-2018 Special Track on Data Mining","Melbourne, FL  USA"
"2431","HeteroNAM 2018","International Workshop on Heterogeneous Networks Analysis and Mining","Los Angeles, California, USA"
"2441","AI4Health 2018","International Workshop on Artificial Intelligence for Health","Funchal, Madeira (Portugal)"
"2451","IRJ-SI 2018","Information Retrieval Journal - Special Issue on “Social Media for Personalization and Search”\",N/A
246,ICCTIM 2017,The 3rd International Conference on Computing Technology and Information Management,Metropolitan College"," Greece
247,data-driven 2017,Special Issue on “Data-Driven User Behavioral Modeling: From Real-World Behavior to Knowledge"
" Algorithms"," and Systems”\"","N/A",""
"2481","DSCI 2018","Special Session on Data Science and Computational Intelligence (at The 10th Asian Conference on Intelligent Information and Database Systems)","Dong Hoi City, Vietnam"
"2491","PAKDD 2018","The 22nd Pacific-Asia Conference on Knowledge Discovery and Data Mining","Melbourne, Australia"
"2501","SDM 2018","CFP SDM'18: SIAM International Conference on Data Mining","San Diego, USA"
"2512","SocialNLP 2017","The 5th International Workshop on Natural Language Processing for Social Media","Boston, MA, USA"
"2521","SABID 2017","Workshop on Solar & Stellar Astronomy BIg Data (SABID)","Boston, MA"
"2531","SABID 2017","Workshop on Solar & Stellar Astronomy BIg Data (SABID)","Boston, MA"
"2541","DRCN 2018","14th International Conference on the Design of Reliable Communication Networks (DRCN 2018)","Orange Gardens, Paris area, France"
"2551","DRCN 2018","Design of Reliable Communication Networks","Orange Gardens, Paris area, France"
"2561","SDM 2018","Workshop Proposals - SDM'18: THE EIGHTEENTH SIAM INTERNATIONAL CONFERENCE ON DATA MINING","San Diego, USA"
"2571","IET ITS SI 2017","IET Intelligent Transport Systems, Special Issue on Big Traffic Data Analysis and Mining","N/A"
"2581","BIBM SEPDA 2017","CFP for the 2nd International Workshop on Semantics-Powered Data Analytics (SEPDA 2017)","Kansas City, MO, USA"
