"conference_acronym","conference_name","conference_location"
"88","TdD#35","Temes de Disseny #35 : Artificial Intelligence and emerging digital technologies as design material","N/A"
"89","ICMLC--ACM, Ei and Scopus 2019","2019 11th International Conference on Machine Learning and Computing (ICMLC 2019)--ACM, Ei Compendex and Scopus","Zhuhai, China"
"90","ACM--ICVARS--Ei and Scopus 2019","ACM--2019 the 3rd International Conference on Virtual and Augmented Reality Simulations (ICVARS 2019)--Ei Compendex and Scopus","Perth, Australia"
"91","ISMSI--Ei, Scopus 2019","2019 3rd International Conference on Intelligent Systems, Metaheuristics & Swarm Intelligence (ISMSI 2019)--Ei Compendex, Scopus","Male, Maldives"
"92","PerPersuasion 2019","1st International Workshop on  Pervasive Persuasive Systems for Behavior Change (co-located with IEEE PerCom 2019)","Kyoto, Japan"
"93","ICMRE--ACM, Ei Compendex and Scopus 2019","ACM--2019 5th International Conference on Mechatronics and Robotics Engineering (ICMRE 2019)--Ei Compendex and Scopus ","Rome, Italy"
"94","ACM--ICMVA--Ei, Scopus 2019","ACM--2019 The 2nd International Conference on Machine Vision and Applications (ICMVA 2019)--Ei Compendex, Scopus","Tokyo,  Japan"
"95","ICGDA--Ei Compendex and Scopus 2019","2019 2nd International Conference on Geoinformatics and Data Analysis (ICGDA 2019)--Ei Compendex and Scopus","Prague, Czech Republic"
"96","ICMVA--ACM, Ei, Scopus 2019","ACM--2019 The 2nd International Conference on Machine Vision and Applications (ICMVA 2019)--Ei Compendex, Scopus","Tokyo,  Japan"
"97","ICSSE--Ei and Scopus 2019","2019 2nd International Conference on Software and Services Engineering (ICSSE 2019)--Ei Compendex and Scopus","Prague, Czech Republic"
"98","ACM--ICISS--Ei, Scopus 2019","ACM--2019 2nd International Conference on Information Science and System (ICISS 2019)--Ei Compendex, Scopus","Tokyo, Japan"
"99","ARDUOUS 2019","3rd International Workshop on Annotation of useR Data for UbiquitOUs Systems","Kyoto, Japan"
"100","ICIIT--ACM, Ei and Scopus 2019","ACM--2019 4th International Conference on Intelligent Information Technology (ICIIT 2019)--Ei Compendex and Scopus","Da Nang, Vietnam"
"101","ICICT--IEEE, Ei & Scopus 2019","IEEE--2019 the 2nd International Conference on Information and Computer Technologies (ICICT 2019)--Ei & Scopus","University of Hawaii Maui College, USA"
"102","APIT--ACM, EI, Scopus 2019","ACM--2019 Asia Pacific Information Technology Conference (APIT 2019)--EI Compendex, Scopus","Jeju Island, South Korea"
"103","ICCAE--Ei Compendex and Scopus 2019","2019 11th International Conference on Computer and Automation Engineering (ICCAE 2019)--Ei Compendex and Scopus","Perth, Australia"
"104","TAMC 2019","Theory and Applications of Models of Computation","Japan"
"105","ICFCC--EI and Scopus 2019","2019 The 11th International Conference on Future Computer and Communication (ICFCC 2019)--EI Compendex and Scopus","Rangoon, Burma"
"106","ICMLSC--Ei Compendex and Scopus 2019","2019 3rd International Conference on Machine Learning and Soft Computing (ICMLSC 2019)--Ei Compendex and Scopus","Da Lat, Vietnam"
"107","RCAE--ACM, Ei, Scopus 2018","ACM--2018 International Conference on Robotics, Control and Automation Engineering (RCAE 2018)--Ei Compendex, Scopus","Beijing, China"
"108","ICDIS 2019","The 2nd International Conference on Data Intelligence and Security","South Padre Island, Texas, USA"
"109","ASPAI 2019","First International Conference on Advances in Signal Processing and Artificial Intelligence (ASPAI' 2019)","Barcelona"
"110","ICCTD--EI, Scopus 2019","2019 10th International Conference on Computer Technologies and Development (ICCTD 2019)--EI Compendex, Scopus","Prague, Czech Republic"
"111","AI-DMR 2019","Special issue of IEEE Intelligent Systems: AI for Disaster Management and Resilience","N/A"
"112","Task Intelligence - WSDM 2019","Task Intelligence Workshop at WSDM 2019","Melbourne, Australia"
"113","CBR@FLAIRS 2019","CBR@FLAIRS 2019 : FLAIRS-32 Special Track on Case-Based Reasoning","Sarasota, FL"
"114","AIHealth@FLAIRS 2019","AI in Healthcare Informatics Special Track at FLAIRS","Sarasota, FL"
"115","SLIE 2019","Special Track Semantics, Logics, Information extraction and AI","Sarasota, Florida"
"116","ICVR--ACM, Ei, Scopus 2019","ACM--2019 5th International Conference on Virtual Reality (ICVR 2019)--Ei Compendex, Scopus","Singapore"
"117","ICRIS--Ei and Scopus 2019","2019 The 2nd International Conference on Robotics and Intelligent System (ICRIS 2019)--Ei Compendex and Scopus","Warsaw, Poland"
"118","ICMSCE--Ei and Scopus 2019","2019 3rd International Conference on Mechatronics Systems and Control Engineering (ICMSCE 2019)--Ei Compendex and Scopus","Nice, France"
"119","ICCCS--Ei and Scopus 2019","2019 4th International Conference on Computer and Communication Systems (ICCCS 2019)--Ei Compendex and Scopus","Singapore"
"120","INAIT 2019","International Conference on Industry 4.0 and Artificial Intelligence Technologies","Hughes Hall, University of Cambridge, Un"
"121","ACM--ICISDM--Ei and Scopus 2019","ACM--2019 3rd International Conference on Information System and Data Mining (ICISDM 2019)--Ei Compendex and Scopus","University of Houston, Texas, USA"
